game_type,player1,player2,winner,seed
othello,random,random,2,22021144
othello,random,random,1,22021166
othello,greedy,greedy,0,22021130
hex,random,random,2,22021088
othello,random,mapbaseheuothello,2,22021106
othello,greedy,mapbaseheuothello,2,22021096
othello,mapbaseheuothello,greedy,1,22021076
othello,mapbaseheuothello,greedy,1,22021136
othello,mapbaseheuothello,mapbaseheuothello,1,22021131
othello,mapbaseheuothello,mapbaseheuothello,2,22021090
othello,mapbaseheuothello,mapbaseheuothello,1,22021083
othello,alphabeta3,greedy,1,22021094
othello,random,alphabeta3,2,22021096
othello,alphabeta3,greedy,1,22021080
othello,alphabeta3,random,1,22021163
othello,alphabeta3,mapbaseheuothello,2,22021158
othello,alphabeta3,random,1,22021124
othello,alphabeta3,mapbaseheuothello,2,22021121
othello,alphabeta3,random,1,22021141
othello,alphabeta3,random,1,22021100
othello,mapbaseheuothello,alphabeta3,1,22021112
othello,alphabeta3,random,1,22021118
othello,mapbaseheuothello,alphabeta3,1,22021105
othello,alphabeta3,mapbaseheuothello,2,22021072
othello,greedy,mctsrave1000,2,22021163
othello,random,alphabeta3,0,22021095
othello,greedy,mcts1000,2,22021071
othello,greedy,mctsrave1000,2,22021142
othello,greedy,mcts1000,2,22021107
othello,greedy,alphabeta3,2,22021135
othello,greedy,mctsstrategy1000(random_strategy),2,22021146
hex,alphabeta3,random,1,22021072
othello,greedy,mctsrave1000,2,22021154
othello,random,alphabeta3,1,22021131
hex,random,alphabeta3,1,22021159
hex,alphabeta3,random,1,22021154
othello,alphabeta3,greedy,1,22021166
othello,random,mapbaseheuothello,2,22021156
othello,mcts1000,greedy,1,22021090
othello,mcts1000,greedy,1,22021119
othello,mcts1000,greedy,1,22021094
othello,mctsstrategy1000(random_strategy),greedy,1,22021113
hex,alphabeta3,alphabeta3,2,22021070
hex,alphabeta3,alphabeta3,2,22021148
hex,alphabeta3,alphabeta3,2,22021097
othello,mctsrave1000,mctsrave1000,2,22021150
othello,random,mctsrave1000,2,22021111
othello,mapbaseheuothello,mctsstrategy1000(random_strategy),2,22021085
othello,mapbaseheuothello,mctsrave1000,0,22021117
othello,mapbaseheuothello,mctsrave1000,2,22021159
othello,alphabeta3,mctsrave1000,2,22021165
othello,alphabeta3,greedy,1,22021122
othello,random,mcts1000,2,22021162
othello,random,mcts1000,2,22021125
othello,mapbaseheuothello,mctsstrategy1000(random_strategy),2,22021157
othello,random,mctsrave1000,2,22021131
othello,alphabeta3,mcts1000,2,22021130
othello,alphabeta3,greedy,1,22021119
othello,alphabeta3,mcts1000,2,22021156
othello,mapbaseheuothello,mcts1000,2,22021125
othello,random,mctsstrategy1000(random_strategy),2,22021131
othello,alphabeta3,mcts1000,2,22021082
othello,random,mctsstrategy1000(random_strategy),2,22021108
othello,random,mctsrave1000,2,22021169
othello,mapbaseheuothello,random,1,22021116
othello,alphabeta3,alphabeta3,2,22021150
othello,mctsrave1000,alphabeta3,2,22021085
othello,mctsrave1000,alphabeta3,2,22021156
othello,mctsrave1000,random,2,22021073
othello,mctsrave1000,random,2,22021117
othello,mctsstrategy1000(random_strategy),greedy,1,22021114
othello,mctsstrategies1000(random_strategy:mobility_strategy),greedy,1,22021086
othello,mcts1000,random,2,22021168
othello,mctsstrategy1000(random_strategy),mapbaseheuothello,2,22021146
othello,mcts1000,random,2,22021169
othello,mcts1000,random,2,22021121
othello,mctsstrategy1000(random_strategy),random,2,22021083
othello,mapbaseheuothello,alphabeta3,1,22021126
othello,mcts1000,random,2,22021079
othello,mcts1000,alphabeta3,2,22021094
othello,mctsstrategy1000(random_strategy),mapbaseheuothello,2,22021109
othello,mctsstrategy1000(random_strategy),mapbaseheuothello,2,22021140
othello,mcts1000,random,2,22021144
othello,alphabeta3,random,1,22021086
othello,mapbaseheuothello,mctsrave1000,2,22021085
othello,alphabeta3,greedy,1,22021128
othello,mapbaseheuothello,mapbaseheuothello,2,22021086
othello,alphabeta3,mctsrave1000,2,22021099
othello,random,mctsstrategy1000(random_strategy),2,22021140
othello,random,mcts1000,2,22021135
othello,alphabeta3,greedy,1,22021106
othello,random,mctsrave1000,2,22021116
othello,greedy,mctsstrategies1000(random_strategy:mobility_strategy),2,22021078
othello,mctsrave1000,greedy,1,22021125
othello,mcts1000,greedy,1,22021106
hex,alphabeta3,alphabeta3,2,22021110
othello,mcts1000,mctsrave1000,2,22021154
othello,mapbaseheuothello,alphabeta3,1,22021153
hex,alphabeta3,alphabeta3,2,22021091
othello,mctsrave1000,mcts1000,2,22021119
othello,mcts1000,mctsrave1000,2,22021114
othello,mctsrave1000,mctsstrategy1000(random_strategy),2,22021135
othello,mcts1000,mctsrave1000,2,22021133
othello,mcts1000,mcts1000,2,22021152
othello,random,mapbaseheuothello,2,22021169
othello,random,mctsstrategy1000(random_strategy),2,22021166
othello,mctsstrategy1000(random_strategy),mcts1000,2,22021137
othello,alphabeta3,alphabeta3,2,22021088
othello,mctsstrategy1000(random_strategy),mctsrave1000,2,22021120
othello,mapbaseheuothello,mcts1000,1,22021118
othello,mctsstrategy1000(random_strategy),mcts1000,2,22021118
othello,mctsrave1000,mctsstrategy1000(random_strategy),2,22021122
othello,mctsrave1000,mcts1000,2,22021115
othello,mcts1000,mctsrave1000,2,22021087
othello,mctsrave1000,random,2,22021127
othello,mctsstrategy1000(random_strategy),mapbaseheuothello,2,22021113
othello,mcts1000,mctsstrategy1000(random_strategy),2,22021168
othello,mctsstrategy1000(random_strategy),mctsrave1000,2,22021090
othello,alphabeta3,mctsstrategy1000(random_strategy),2,22021113
othello,mctsstrategy1000(random_strategy),mapbaseheuothello,2,22021114
hex,alphabeta3,random,1,22021093
othello,mcts1000,alphabeta3,2,22021076
othello,mctsrave1000,mctsstrategy1000(random_strategy),2,22021107
othello,greedy,greedy,0,22021139
othello,mctsrave1000,mctsstrategy1000(random_strategy),2,22021145
hex,alphabeta3,alphabeta3,2,22021116
